,brand_name,price,pred,name,name_token,item_description
17098,_missing_,5.0,4.99996011891,moonbeam metallic matte lipgloss,moonbeam metallic matte lipgloss," bundle any of my lipgloss listing and save   brand new sealed brand:kleancolor madly matte lipgloss goes on gloss and sets matte  note  i try my best to research the color and give you a great idea of what it looks like. i spend a lot of time on this. please refer to swatch pics as well! picture is a close depiction of the color. shades may appear slightly lighter/ darker depending on lighting and skin tone variances, and the amount of gloss applied"
47054,Estee Lauder,12.0,12.0000947111,estee lauder shimmer,estee lauder shimmer,"brand new estee lauder all over shimmer , limited edition"
33015,Pilot,14.0,13.9998447149,  pilot g2 fine pens (7 pcs)  ,pilot g2 fine pens 7 pcs,no description yet
50313,LuLaRoe,25.0,25.00027858,new lularoe,new lularoe,new with tags 3xl randy legging material
23923,PINK,28.0,28.000342491,bundle nwt vs pink logo boyshorts small,bundle nwt vs pink logo boyshorts small,new with tags victoria secret pink logo boyshorts size small. fabric is 91% cotton and 9% elastane. this bundle includes 3 pair as shown.
2101,_missing_,12.0,11.9998264406, 14k  gold upper row grillz,14k gold upper row grillz,"golden upper row teeth and is one size fits all. includes one silicon fixing bar to keep your grillz on tight. 1.adjust the shape of grillz 2.place the fixing car into the middle of grillz 3.pick up grillz with fixing bar together into hot water,around (100 ) 4.insert grillz onto your teeth,adjust for a perfect fit,then wait 2 mins for harden. each grillz can fit any teeth no matter how straight or crooked your teeth are.you can wear the grillz or remove it easily. free shipping! brand new!"
61083,_missing_,7.0,7.00016653489,2 tempered glass for iphone 6s plus,2 tempered glass for iphone 6s plus,brand new free shipping you will get 2 tempered glass each package will come with cleaning kit exactly as you see in the pics fits 6 plus 7 plus 6s plus 7$
144475,Bath & Body Works,18.0,18.0004843251,be joyful set,be joyful set,no description yet
27854,_missing_,33.0,32.9989932729,lularoe leggings os nwt feathers,lularoe leggings os nwt feathers,beautiful black background!!
5752,LuLaRoe,32.0,32.0009952375,lularoe os clouds and loghtening,lularoe os clouds and loghtening,os never worn
122522,Monopoly,14.0,13.9995306815,26 monopoly safeway game pieces,26 monopoly safeway game pieces,"26 monopoly safeway game pieces, all unopened from a northern california store."
94421,_missing_,12.0,12.0004768863,"2017 agenda/day planner, beautiful!",2017 agenda day planner beautiful,"sugar paper brand 2017 day planner and agenda book. very good condition, with minimal amount of wear and tear. no bent pages or markings. no ripped or torn pages. binding is good. beautiful blue color."
125259,_missing_,5.0,5.0002279714,key to my heart choker,key to my heart choker,no description yet
145691,_missing_,15.0,15.0006168936,axe gift set,axe gift set,a 4 piece set scent is apollo
134302,FOREVER 21,11.0,10.9995228205,forever 21 cardigan,forever 21 cardigan,worn a couple times but still in excellent condition size s dark blue has pockets on each side - 4th picture dark blue/black/gray: hard to describe color.
40665,Victoria's Secret,11.0,10.9995205595,victoria's secret cotton bra,victoria ' s secret cotton bra,yellow front closure racer back cotton soft cup under wire bra in good used condition size 40d
114308,_missing_,7.0,6.99967443222,rabbit carrot,rabbit carrot,no description yet
56498,Brandy Melville,17.0,17.0007939542,brandy melville ribbed white crop top,brandy melville ribbed white crop top,"never worn, nwt"
