,brand_name,price,pred,name,name_token,item_description
14981,MAC,109.0,25.8918963341,selena inspired makeup holders set,selena inspired makeup holders set,"hand made, one of a kind. 2 brush holders 1 lipstick holder 1 eyeliner holder 1 multipurpose holder"
62074,_missing_,60.0,13.9115460933,lot 4 happy,lot 4 happy,happy lot
134980,_missing_,3.0,15.3650079778,ed hardy bath wash,ed hardy bath wash,"brand new, still in box, full sized ready to free ship"
35972,_missing_,81.0,19.0354591909,dress,dress,size : xs this dress has been worn one time in great condition...gold & navy blue can be worn for prom or events originally bought for : [rm]
39590,_missing_,199.0,47.866428348,apple watch,apple watch,apple watch in great condition! the perfect accessory
19199,_missing_,60.0,13.8938821922,the guardian,the guardian,"the guardian, 17 again, just married, the cutting edge series, the hangover series, gamer, haunting of molly hartley, gone, the others, pursuit of happyness"
89748,GUESS,116.0,27.5543822936,asap rocky x guess,asap rocky x guess,fits tts. worn 1x with no signs of wear. sorry for bad pic quality but my camera is messed up
46803,_missing_,60.0,13.8824987291,robin mcgraw skin care,robin mcgraw skin care,robin mcgraw skin care
54335,Supreme,11.0,48.1924845213,supreme bag,supreme bag,no description yet
22740,_missing_,60.0,13.8755262102,2pc knit skirt set,2pc knit skirt set,green skirt set with designs size 4x top is 33'long
132766,_missing_,40.0,8.99356812323,lot worth 109$ kawaii stationery,lot worth 109$ kawaii stationery,no description yet
143813,_missing_,7.0,31.8230662074,"2 samsonite accessories, new",2 samsonite accessories new,"-new in box samsonite luggage black security waist belt/ ""fanny pack"" -new samsonite waterproof carryall for travel accessories check out my other listings, i can combine orders for cheaper shipping! thanks for looking."
61128,_missing_,85.0,19.9580431879,handmade 18k gold filled jewelry set,handmade 18k gold filled jewelry set,"price is negociable! brand new, unused! comes in gift box! handmade 18k gold filled, rhinestones, ruby color teardrop. set includes: necklace 18"" w/ ruby color teardrop bracelet 7.5"" ring size 7 pierced dangle earrings all in gift box!!! gold filled = not solid gold but excellent quality gf & won't tarnish!!! handmade. made in ecuador. hashtags: handmade, jewelry, set, gold filled, necklace, bracelet, ring, dangle earrings, 18k, ruby, rhinestones, teardrop, gift set,"
17901,_missing_,59.0,13.6192280335,apple watch and iphone portable charger,apple watch and iphone portable charger,"apple watch series 1,series 2,nike+, 42mm apple watch series 1,series 2, nike+, 38mm, iphone 7/7 plus, iphone 6s/6s plus, iphone 6/6 plus, iphone 5s/5s plus, ipad 4/3/2, htc, android, ipod touch,ipod nano,ipod shuffle, samsung android cellphones size make it easy to carry on the go; fits in a purse, briefcase, or coat pocket; charge apple watch or iphone while flying, in the car, or at work. use on-the-go while traveling or as a nightstand beside your bed;"
