,target,feature,weight
0,y,item_description__limbs,1.87655154156
1,y,item_description__14k,1.84201285918
2,y,brand_name__david yurman,1.65979319165
3,y,item_description__carat,1.645582724
4,y,name__dockatot,1.61508833548
5,y,item_description__unlocked,1.59481910133
6,y,item_description__64gb,1.54282655101
7,y,name__tieks,1.52596754524
8,y,brand_name__vitamix,1.46516268825
9,y,name__tria,1.45379558707
10,y,item_description__16gb,1.45027033143
11,y,name__hatchimals,1.43429004668
12,y,name__hatchimal,1.42468725472
13,y,item_description__500gb,1.41947025823
14,y,name__dyson,1.38939053153
15,y,name__movado,1.36739960196
16,y,item_description__32gb,1.36349924652
17,y,name__007taz,1.34593421725
18,y,item_description__imei,1.33532676741
19,y,name__hoverboard,1.32224962827
20,y,name__tyme,1.32218564269
21,y,name__lily jade,1.28338326421
22,y,item_description__pop stack,1.28221479838
23,y,item_description__10k,1.24668288022
24,y,item_description__i5,1.23454797391
25,y,name__owlet,1.2279562126
26,y,name__delightful,1.22143269552
27,y,brand_name__celine,1.2034680975
28,y,name__mcm,1.19371557949
29,y,name__playstation vr,1.19141075619
30,y,name__dunn cookie,1.1734337926
31,y,brand_name__kendra scott,1.1471210084
32,y,brand_name__michele,1.13657391538
33,y,category_name__kids/strollers/lightweight,1.12907036714
34,y,brand_name__alexis brittar,1.1274617181
35,y,name__mk purses,1.12598874037
36,y,name__airpods,1.12588893804
37,y,brand_name__stuart weitzman,1.11793634172
38,y,name__moncler,1.11507533669
39,y,item_description__stack,1.09918495552
40,y,item_description__cans,1.09517654117
41,y,brand_name__blendtec,1.09498304211
42,y,brand_name__saint laurent,1.09111814959
43,y,name__gift cards,1.08683621462
44,y,item_description__receipt,1.08400345722
45,y,name__brahmin,1.07821679948
46,y,name__dunn cookies,1.07745442075
47,y,name__256gb,1.07735400725
48,y,name__google home,1.07177447178
49,y,item_description__date code,1.06926156235
50,y,item_description__weighs,1.06919061068
51,y,name__reformation,1.06471144712
52,y,item_description__tmobile,1.06253241838
53,y,name__cutco,1.0613011044
54,y,name__lash boost,1.05851060485
55,y,name__rolex,1.05647532696
56,y,item_description__i7,1.05646420216
57,y,item_description__grams,1.05533169503
58,y,item_description__14kt,1.05329659701
59,y,name__skinmedica,1.05232916052
60,y,name__ue,1.05119265497
61,y,name__freebird,1.0461341714
62,y,item_description__diamonds,1.0451634744
63,y,name__bose,1.04287109477
64,y,name__ultraboost,1.04082160681
65,y,name__sorrelli,1.03732692555
66,y,item_description__not pictured,1.03666306073
67,y,brand_name__balenciaga,1.02746255019
68,y,item_description__750,1.0253171167
69,y,name__harveys,1.02318483168
70,y,name__elgato,1.02311589064
71,y,name__14 gold,1.01751874361
72,y,category_name__kids/strollers/travel systems,1.01087439955
